category,name,price,description,image,Category
Computer Cases,NZXT H510 - Compact ATX Mid-Tower Case - Front I/O USB Type-C Port - Tempered Glass Side Panel - White/Black (CA-H510B-W1),123.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/143/14301/14301386.jpg,Computer Cases
Computer Cases,Thermaltake Versa H15 M-ATX Gaming Chassis,64.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10441/10441702.jpg,Computer Cases
Computer Cases,Cougar Conquer 2 PC Gaming Case,479.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/147/14759/14759768.jpg,Computer Cases
Computer Cases,"Segotep Gank 5 Gaming Computer case Support ATX, Micro-ATX, Mini-ITX Mid Case.Tempered Glass Side Panel, ATX Mid Tower, PC Case Black",119.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/147/14797/14797683.jpg,Computer Cases
Computer Cases,NZXT H510 - Compact ATX Mid-Tower Case - Front I/O USB Type-C Port - Tempered Glass Side Panel - Black (CA-H510B-B1),123.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/143/14301/14301388.jpg,Computer Cases
Computer Cases,"HYTE Y60 Modern Aesthetic Dual Chamber Mid-Tower ATX Computer Gaming Case Only, White",301.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/164/16448/16448360.jpeg,Computer Cases
Computer Cases,Razer Tomahawk Mini-ITX Computer Case,239.99,"Mini tower case is a compact design that is perfect for users who want to keep their computers portableFront panel connectivity enables easy and effortless access to devicesDual-sided tempered glass panels offer an unobstructed view of the case's interiorVents at the top and rear dissipate heat to keep the case coolBuilt-in air filters at the front vent improve the airflow and reduce the intake of dust particles to keep the case's interior cleanerSPCC steel and tempered glass construction keep the case durableChroma-enabled hardware is durable with easy-to-open doors for customization of the case without using toolsSFX / SFX-L power supply ensures low-noise operationRazer Chroma RGB customizable lighting lets you enjoy a more immersive gaming experience16.8 million colours and a suite of effects allow syncing the case with the rest of battle station to take your gameplay to another levelSupports up to 240mm radiators that keep the case's content coolSpacious design allows you to maximize the cooling capabilities of the systemOne USB 3.2 Gen 2 Type-C port, 2 standard USB 3.2 Gen 1 Type-A ports, a dedicated mic port, and 1 mic/headphone combo port for easy connectivity to peripheralsThree expansion slots enable you to add compatible components like graphic cardsRazer Tomahawk Gaming Chassis includes cut-outs to accommodate cables to prevent airflow and keep the system clutter-freeFits Mini-ITX and Mini-DTX motherboards that help build a custom computer",https://multimedia.bbycastatic.ca/multimedia/products/500x500/155/15552/15552811.jpg,Computer Cases
Computer Cases,NZXT H510 Elite - Premium Mid-Tower ATX PC Case - Dual-Tempered Glass Panel - Integrated RGB Lighting - White (CA-H510E-W1),199.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/143/14301/14301387.jpg,Computer Cases
Computer Cases,NZXT H510i Compact ATX Mid-Tower PC Case - Tempered Glass Side Panel - Integrated RGB Lighting - White/Black (CSE-CA-H510I-W1),126.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/143/14309/14309330.jpg,Computer Cases
Computer Cases,CPU Holder for under desk mount adjustable to fit almost any CPU Computer Tower,45.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/123/12315/12315415.png,Computer Cases
Computer Cases,ASUS - ASUS ROG Strix Helios GX601 White Edition RGB Mid-Tower Computer Case,503.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/151/15108/15108278.jpeg,Computer Cases
